id,created_at,text,day_label,label
295522351565643778,Sun Jan 27 13:23:13 +0000 2013,sneezing fit again  sobs go away,1,1
295452598780190720,Sun Jan 27 08:46:03 +0000 2013,"if this weather system came through on december 21st, would we have panicked more?  bigwet  bnestorm  bnestorm  apocalypse  mayan  endworld",1,1
296940485291958273,Thu Jan 31 11:18:23 +0000 2013, gah i cant afford to go to laneway   love to buy you a drink or meet you that your in brisbane!?!?,5,1
296569863172919297,Wed Jan 30 10:45:40 +0000 2013,rt many people in china get tattoos of english words  amp  sentences that mean nothing  haha too funny!,4,1
297292225811972097,Fri Feb 01 10:36:04 +0000 2013, hahahaha i just told him id have to think about it  p he was like what i would do to u if u were in my arms   more haha,0,1
295792807686336512,Mon Jan 28 07:17:55 +0000 2013, when youre 3 games from the end and united are close and your best player back passes to drogba you know its deliberate,2,1
296002033398448131,Mon Jan 28 21:09:18 +0000 2013, your mind spends about 70  of its time replaying memories and creating scenarios of perfect moments          mylife,2,1
297135907574800384,Fri Feb 01 00:14:55 +0000 2013, no dramas! thanks again though ,0,1
296194311576489984,Tue Jan 29 09:53:21 +0000 2013, mkr  boring or what     so pre planned with written scipts its not funny,3,1
297470485078372352,Fri Feb 01 22:24:25 +0000 2013,2am night watching the first season of girls  gt  gt  gt  gt  favourite new show!,0,1
296850658064224256,Thu Jan 31 05:21:26 +0000 2013,planning on running home as soon as i gt iff da bus to watch  willandtrenttwitcam  willandtrentshirtlesstwitcam   willandtrenttwitcam,5,1
297199686392094720,Fri Feb 01 04:28:21 +0000 2013,off to meeting     with so called    baaps of mineral processing!!,0,1
296752987668365313,Wed Jan 30 22:53:20 +0000 2013," in fairness, twba is 1 of 20 test sites in the country, its a 9 yr roll out nationwide  amp  youll see it well before then  )",4,1
295713487525662720,Mon Jan 28 02:02:44 +0000 2013, how old are you? making fun of an icon   not cool ,2,1
296866306110656512,Thu Jan 31 06:23:37 +0000 2013,perrie doesnt know i exist  (,5,1
295510780164591616,Sun Jan 27 12:37:14 +0000 2013,  didnt u say ur halve way thru writing a book?,1,1
297378826948866049,Fri Feb 01 16:20:12 +0000 2013,i think i only go out these days bc i like to eat when im drink lmao fuck,0,1
295417999106658304,Sun Jan 27 06:28:34 +0000 2013,kedron brook in full force  ,1,1
295734589756960770,Mon Jan 28 03:26:35 +0000 2013, glad to see you back bro  but your brother is an ass for eliminating you  shoulda been other way around,2,1
296875467062001667,Thu Jan 31 07:00:01 +0000 2013,so devastated to hear my good friend and ex colleague ben roper has passed away   thank you all for rt the tweets to try find him  rip ben,5,1
295478715842969600,Sun Jan 27 10:29:50 +0000 2013, you need to post more whiskey pics ,1,1
297221442037235712,Fri Feb 01 05:54:48 +0000 2013, what i dont understand is how you can get given out by listening to audio?,0,1
297239952943611905,Fri Feb 01 07:08:22 +0000 2013,on way to the  game!!!! ,0,1
297306394095403009,Fri Feb 01 11:32:22 +0000 2013, what they have done as an organization is great given their resources  amp  location  ,0,1
296204450568208385,Tue Jan 29 10:33:38 +0000 2013, its just made me feel really thirsty,3,1
296905640838828032,Thu Jan 31 08:59:55 +0000 2013,lol at jayde flirting crazily with a gay guy  (at ginga sushi portside) ,5,1
296057706631012353,Tue Jan 29 00:50:32 +0000 2013,"i like you, but you ruin everything  like my happy moods ",3,1
297213512063799296,Fri Feb 01 05:23:17 +0000 2013, power punches? where you getting the punch stats?,0,1
296995287447261184,Thu Jan 31 14:56:09 +0000 2013, get on pintrest!!! its all about home inspirations!! youll love it!,5,1
295367190461435904,Sun Jan 27 03:06:40 +0000 2013, haha awww   yeah were just staying home  (,1,1
295888974197694464,Mon Jan 28 13:40:03 +0000 2013,vintage surfboard  ride it or hang it   100 00 ,2,1
297465926213828609,Fri Feb 01 22:06:18 +0000 2013,meeting random people is my favorite thing in the world,0,1
296919714263863296,Thu Jan 31 09:55:51 +0000 2013, please let us know what he needs ,5,1
295586674447093761,Sun Jan 27 17:38:49 +0000 2013,"finally home again, cant wait to jump into my bed",1,1
296212719139442688,Tue Jan 29 11:06:30 +0000 2013, that phrase much classier than roos loose in the top paddock nice ,3,1
296415744546185216,Wed Jan 30 00:33:15 +0000 2013, hey team! i think theres a problem with your data reporting systems i tried to explain to call centre but language barrier   ,4,1
296720825850163202,Wed Jan 30 20:45:32 +0000 2013, it always is funny  its to the point where i dont ever see the term spuds meaning potato  unless im near a kitchen ,4,1
296155224215805952,Tue Jan 29 07:18:02 +0000 2013,"im at workwear discounts (toowoomba city, queensland) ",3,1
295485717465935873,Sun Jan 27 10:57:39 +0000 2013,looks like its going to be another long night courtesy  djoko and  murray  australianopen,1,1
296474689113579520,Wed Jan 30 04:27:28 +0000 2013," this was tweeted in the nick of time!  my partner and my ever faithful dog, thank you   the misery youve a averted    )",4,1
296518235484983296,Wed Jan 30 07:20:31 +0000 2013,"when given the choice between being right and being kind, choose kind  dr  wayne dyer",4,1
296544765065953280,Wed Jan 30 09:05:56 +0000 2013, that mustve been an interesting google search,4,1
296455117811621888,Wed Jan 30 03:09:42 +0000 2013,o level candidates who seem to keep on failing to register    see this   ) ,4,1
296910553664876544,Thu Jan 31 09:19:26 +0000 2013, yayayaayaya! can we please do a coffee date?!,5,1
295678563691147264,Sun Jan 27 23:43:57 +0000 2013, thanks for being the best band everrrrrr,1,1
295476756767469568,Sun Jan 27 10:22:03 +0000 2013,the climatic conditions are not conducive to good reception  sigh   bigwet  australianopen,1,1
295541465013182465,Sun Jan 27 14:39:10 +0000 2013,i just though about the night i went clubbing with  and i cried,1,1
297162655968423936,Fri Feb 01 02:01:12 +0000 2013, i could try (passing wind) and outputting glitter if that helps!,0,1
295470307836301314,Sun Jan 27 09:56:25 +0000 2013,rt  foam from rough waves at alexandra headland resembles snow on the sunshine coast  staysafe  bigwet  queensland  flood    ,1,1
296785376314531840,Thu Jan 31 01:02:02 +0000 2013, thats happened quite a few times this season  cant think twice about it when we play real ,5,1
296515233361563648,Wed Jan 30 07:08:35 +0000 2013," bus friends are not real friends, only friends cause its convenient",4,1
295459962983968768,Sun Jan 27 09:15:19 +0000 2013, im appearing here every night this week with encores on demand  its called a society!,1,1
295678196593078272,Sun Jan 27 23:42:30 +0000 2013,  its really windy here   is keeping an eye on it for him,1,1
295345458312781826,Sun Jan 27 01:40:19 +0000 2013,   if i was in the airport i would pretend i didnt know him and then help him with his stuff   ),1,1
296140389402955777,Tue Jan 29 06:19:05 +0000 2013, hey  thankyou for following    smile   gimme shout out ,3,1
295372336864043008,Sun Jan 27 03:27:07 +0000 2013,this is clearly fake  why are ch7  amp   rting???   just taken off gold coast ,1,1
296945717912678400,Thu Jan 31 11:39:10 +0000 2013,"the night begins     of  getting acoustic at snitch    im on next, at x  amp  y bar ",5,1
296456134548676610,Wed Jan 30 03:13:45 +0000 2013, coz its cheaper to buy and glasses a full of ice,4,1
295548753966952448,Sun Jan 27 15:08:08 +0000 2013, unsure i have followed like 200 people in about an hour and it hasnt kicked in yet,1,1
296548224355946496,Wed Jan 30 09:19:40 +0000 2013,breaking all the boys hearts    (at noodle and donburi japanese bento) ,4,1
296153167878561792,Tue Jan 29 07:09:52 +0000 2013,im at pool side at peppers on blue ,3,1
295534254367064065,Sun Jan 27 14:10:31 +0000 2013,i hope tomorrow will be better ,1,1
295439465994924032,Sun Jan 27 07:53:52 +0000 2013,yep thanks for the non effective thought  just roll up roll round rotation is required apparently hmm any surf music,1,1
297277006171746304,Fri Feb 01 09:35:36 +0000 2013,i need to do my re growth wow,0,1
296072403363188736,Tue Jan 29 01:48:56 +0000 2013,defence force to add muscle to flood fight  julia gillard has guaranteed that queensland will have defence backu    ,3,1
296706587727392769,Wed Jan 30 19:48:57 +0000 2013,"morning leagusnation!  quote  talk is cheap, actions speak louder then words!  good day to all  )    leagus   follow",4,1
295373209002446848,Sun Jan 27 03:30:35 +0000 2013,"  were currently getting hammered by ex t c oswald!!no power,ltd phone, rain  amp  wind would blow dog off a chain!!",1,1
296193774575554560,Tue Jan 29 09:51:13 +0000 2013,  mkr omg only been watching the show for 20mins and already i want dancer boy and the curry munchers to leave!!!,3,1
295527618449666049,Sun Jan 27 13:44:09 +0000 2013,doubt ill be getting much sleep tonight,1,1
295936281958039552,Mon Jan 28 16:48:02 +0000 2013,burlesque classes   the gold coast surfers paradise ,2,1
